1,ABAZAL POR ALTO LUCERO,475.00
2,ACAJETE,180.00
3,ACATLAN POR NAOLINCO,360.00
4,ACAYUCAN,3630.00
5,ACAZONICA POR PASO DE OBEJAS,880.00
6,ACTOPAN,390.00
7,AEREOPUERTO LENCERO,180.00
8,AEREOPUERTO VERACRUZ,1100.00
9,AGUACERO POR ZONA MILITAR,150.00
10,AGUA DULCE POR MINATITLAN,4600.00
11,ALAMO,3300.00
12,ALBORADA ,140.00
13,ALCHICHICA,800.00
14,ALMOLONGA,240.00
15,ALPATLAHUAC POR HUATUSCO,1100.00
16,ALTOS LOS,800.00
17,ALTO LUCERO,360.00
18,ALTO TIO DIEGO,270.00
19,ALTOTONGA,700.00
20,ALVARADO,1800.00
21,ANGEL R CABADA,2200.00
22,ANTIGUA LA,800.00
23,ANTONIO LIZARDO,1500.00
24,ACOTITA POR ACAZONICA,850.00
25,APAZAPAN,500.00
26,APIZACO TLAX.,1800.00
27,ARENALES,80.00
28,ATLIXCOS POR PALMA SOLA,1480.00
29,ATALPA CHICO,300.00
30,ATZALAN,720.00
31,AYAHUALULCO POR IXHUACAN,600.00
32,BAJADAS LAS POR VERACRUZ,1100.00
33,BALCONES DE XALAPA,60.00
34,BANDERA LA POR ACTOPAN,485.00
35,BANDERILLA CENTRO ,100.00
36,BANDERILLA MAS ALEJADO,110.00
37,BARRANCA HONDA POR COAPEXPAN,80.00
38,BELLA ESPERANZA POR ALBORADA,185.00
39,BLANCA ESPUMA POR ALTO LUCERO,460.00
40,BOCA DEL RIO (CONURBADO),1150.00
41,BOCA DEL RIO (CIUDAD),1200.00
42,BOCANA POR CERRO GORDO,400.00
43,BOQUERON POR PASO DE OVEJAS,780.00
44,BRIONES-CENTRO,110.00
45,BUENA VISTA POR ACTOPAN,480.00
46,BUGAMBILIAS-TRANCAS,70.00
47,CAFETAL POR NAOLINCO,300.00
48,CARDEL ,700.00
49,CARRIZAL-EMILIANO ZAPATA,400.00
50,CARRIZAL-BALNEARIO,460.00
51,CASITAS-SAN RAFAEL,1950.00
52,CASTILLO EL,100.00
53,CASTILLO CHICO,120.00
54,CATEMACO,2800.00
55,CAMPO VIEJO POR COATEPEC,130.00
56,CERRILLOS DE DIAZ,465.00
57,CERRO AZUL,3800.00
58,CERRO DE LEON,480.00
59,CERRO GORDO,250.00
60,CIUDAD MENDOZA,1990.00
61,CHOAPAS LAS,4700.00
62,COACOATZINTLA,200.00
63,COATEPEC CENTRO,130.00
64,COATEPEC COLONIAS,145.00
65,COATZACOALCOS,4230.00
66,COFRE DE PEROTE,730.00
67,COLIPA,850.00
68,COMOAPAN POR HUATUSCO,780.00
69,CONCEPCION LA,235.00
70,CONEJOS,650.00
71,CONCHAL EL POR BOCA DEL RIO,1340.00
72,CONSOLAPAN ,100.00
73,CORDOBA ,1400.00
74,CORRAL FALSO,210.00
75,COSAMALOAPAN,2520.00
76,COSAUTLAN,500.00
77,COSCOMATEPEC,1030.00
78,COYOL,200.00
79,COYOLILLO,330.00
80,CRUCES LAS POR EL CASTILLOS,150.00
81,CRUZ BLANCA,400.00
82,CUERNAVACA MORELOS,4600.00
83,CUMBRE LA,370.00
84,CHACHALACAS ,800.00
85,CHALTEPEC POR BANDERILLA,130.00
86,CHAVARRILLO (PUEBLO),220.00
87,CHICHICASTLE POR CARDEL,580.00
88,CHAVARRILLO (ESTACION),220.00
89,CHICO EL,140.00
90,CHICONQUIACO,460.00
91,CHICUASEN,320.00
92,CHILTOYAC,170.00
93,CHINCHONTLA,900.00
94,DIAMANTE POR ACTOPAN,550.00
95,DOS RIOS,180.00
96,ENERO COL. 6,150.00
